이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
매콤한 버섯카레,"3분카레 매운맛 1개, 맛있는 오뚜기밥 1개, 양파 1/4개, 양송이버섯 2개, 오뚜기 냉장 오메가3 버터1T, 물1/2컵, 소금약간","3분카레 X 버섯 간단 꿀조합!! _x000D_ _x000D_ 그냥 먹어도 맛있는 3분카레이지만, 간단한 재료를 추가하면 더욱 맛있게 먹을 수 있어요. 3분카레 매운맛에는 버섯이 특히나 잘 어울리지요. 버터에 양파와 버섯을 볶아 풍미를 한 층 높여주고 카레와 물을 넣어 끓이면 끝! 3분카레의 업그레이드 버전이 뚝딱 완성되었습니다~

Step 1 오뚜기밥은 전자레인지에 따뜻하게 데운다.

Step 2 양파는 사방2cm 크기로 썰고, 양송이버섯은 갓의 막을 벗기고 4등분한다.

Step 3 냄비에 버터를 두르고 양파와 양송이버섯을 볶다가 소금으로 약하게 간하고 물을 부어서 끓이다가 3분카레 매운맛을 넣고 끓인다.

Step 4 그릇에 밥을 담고 카레소스를 얹어 완성한다.",밥,"채소, 유제품",볶음,"스피드, 캠핑, 1인분, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",카레데이,냄비
매콤 쉬림프 카레라이스,"오뚜기 바몬드카레 매운맛 골드 1봉, 오뚜기 순후추 1/2t, 맛있는 오뚜기밥 4개, 물 700ml, 새우 (중하) 8마리, 페퍼론치노 4개, 고춧가루 1T, 소금 1/2t, 오뚜기 타바스코 스리라차 1T, 오뚜기 프레스코 압착올리브유 1T,오뚜기 미향 1T, 다진마늘 1/2T, 감자 1/2개, 양파 1/2개, 당근 1/4개","언제 먹어도 맛있는 카레를 더욱 맛있게 즐기는 방법을 소개해 드릴게요. 카레는 어떤 재료와도 잘 어울리지만, 특히 새우는 최고의 짝꿍 중에 하나이죠! 여기에 군침 도는 매콤한 맛을 위해 타바스코 스리라차 소스도 추가해봤어요. 새우와 카레에 매콤함까지 더한 환상의 궁합으로 오늘 식탁을 차려보는 것은 어때요?

Step 1 감자와 당근, 양파는 1cm로 깍둑 썬다.

Step 2 페퍼론치노는 작게 부순다.

Step 3 새우는 껍질과 내장을 제거하고 미향, 다진마늘, 소금, 후추, 부순 페퍼론치노로 간을 한다.

Step 4 후라이팬에 약간의 올리브유를 두르고 새우를 굽는다.

Step 5 냄비에 올리브유를 두르고 감자, 당근, 양파를 볶다가 물을 부어 끓인다.

Step 6 끓기 시작하면 카레가루와 스리라차를 넣고 5분간 끓여 카레소스를 만든다.

Step 7 전자레인지로 오뚜기밥을 조리한다.

Step 8 밥을 그릇에 담고 카레소스를 부은 뒤 구운 새우를 올려 완성한다.",밥,"채소, 해물",기타,도시락,카레데이,후라이팬
만두덮밥,"오뚜기 맛있는 잡채만두 1/3봉, 맛있는 오뚜기밥 2개, 양파 1개, 오뚜기 맛있는계란 4개, 오뚜기 프레스코 카놀라유 1T, 소금 약간, 물 300ml, 실파 1줄기, 오뚜기 옛날 볶음참깨 1t, 이금기 팬더양조간장 2T, 오뚜기 올리고당 2t, 미향 1T","간단한 재료로도 그럴싸한 음식을 만들고 싶을 때 잘 어울리는 만두덮밥 레시피를 소개해 드릴게요. 냉동만두와 계란으로 비주얼과 맛 둘다 잡은 요리에요. 이번에는 잡채만두를 활용했지만, 다양한 만두 종류를 활용하면 매번 다른 느낌의 만두덮밥을 드실 수 있을거에요. 취향에 따라 와사비나 라조장을 조금 첨가해도 좋답니다.

Step 1 양파는 채 썰고, 실파는 송송 썬다.

Step 2 계란은 풀어 약간의 소금간 한다.

Step 3 전자레인지용 그릇에 만두를 담고 물을 약간 묻혀 전자레인지에 2분간 조리한다.

Step 4 후라이팬에 카놀라유를 두르고 양파를 볶는다.

Step 5 양파가 투명해질 때 간장, 올리고당, 미향을 넣고 볶는다.

Step 6 양파에 소스가 잘 어우러지면 물을 넣고 끓인다.

Step 7 끓기 시작하면 풀어놓은 계란을 붓고 위에 만두를 더한다.

Step 8 뚜껑을 덮고 2분간 익혀 계란을 반정도만 익힌다.

Step 9 오뚜기밥을 전자레인지 조리한다.

Step 10 그릇에 밥을 담고 양념된 만두와 계란을 얹은 뒤, 실파와 깨를 뿌려 완성한다.",밥,"채소, 계란",조림,"키즈푸드, 셰프의 팁! 간편식 업그레이드",,"후라이팬, 전자레인지"
마약김밥,"김밥용 김4장, 맛있는 오뚜기밥 2개, 단무지 4줄, 시금치 3줌, 당근 1/2개, 오뚜기 고소한 참기름 2T, 오뚜기 옛날 볶음참깨 1T, 소금 1t, 오뚜기 겨자냉채소스 3T, 이금기 팬더양조간장 1T","서울 광장시장에서 제가 가장 즐겨찾는 음식은 뭐니뭐니해도 마약김밥이에요. 별다른 재료가 들어있지 않은데도 계속 집어먹게 되는데, 그래서 마약이라는 이름이 붙었나봐요. 마약김밥은 아이들과 함께 만들기에도 참 좋고, 겨자소스만 곁들여도 밖에서 사먹는 것 못지 않은 맛이 난답니다.

Step 1 당근은 얇게 채 썰고 후라이팬에 살짝 볶는다.

Step 2 시금치는 끓는 물에 살짝 데치고 찬물에 식혀 물기를 뺀다.

Step 3 물기 뺀 시금치에 약간의 소금과 참기름, 깨를 섞어 간한다.

Step 4 오뚜기밥을 전자레인지 조리하고 참기름, 소금, 깨를 섞어 간한다.

Step 5 김은 2등분한다.

Step 6 김에 밥을 깔고 단무지, 당근, 시금치를 넣고 말아 김밥을 만든다.

Step 7 겨자냉채소스와 간장을 섞어 소스를 만든다.

Step 8 소스에 김밥을 찍어먹을 수 있도록 완성한다.",밥,채소,기타,"브런치, 간식, 도시락, 키즈셰프, 키즈푸드, 채식",,기타
고사리 갈릭볶음밥,"고사리 40g,양파 1/4개, 양송이버섯 3개, 맛있는 오뚜기밥(210g) 1개, 오뚜기 프레스코 알리오올리오 스파게티소스 6T,오뚜기 프레스코 카놀라유 1T,  베이컨 1줄, 당근 1/6개","알라오올리오 스파게티소스 하나로 쉽게 완성하는 갈릭볶음밥!_x000D_ 일명 ‘산에서 나는 소고기’라 불리는 고사리를 더해서 건강하면서도 색다른 맛을 즐겨보세요._x000D_ 고사리 특유의 향긋함과 식감이 볶음밥을 한 층 더 업그레이드 해줄 거에요!

Step 1 양파와 당근은 다이스하고 양송이버섯은 편 썬다.

Step2 고사리는 3cm로 자르고, 베이컨은 1cm로 자른다.

Step3 후라이팬에 카놀라유를 두르고 베이컨, 양파, 당근, 고사리, 양송이버섯 순으로 넣고 볶는다.

Step 4 스파게티 소스를 넣고 센 불에서 볶는다.

Step 5 소스가 반으로 줄어들면, 데우지 않은 오뚜기밥을 넣고 볶아 완성한다.",밥,채소,볶음,"캠핑, 도시락, 파티, 1인분",,후라이팬
창녕갈릭 삼치조림,"손질된 삼치 1마리(소), 무 4cm 한 토막, 창녕갈릭소이소스 25g, 대파 1/3대, 양파 1/3개, 굵은 고춧가루 약간, 오뚜기 연생강 5g, 청양고추 2개, 순후추, 약간 물 300g","밥도둑 하면 떠오르는 메뉴 중 하나인 생선 조림 레시피를 소개합니다. 창녕마늘이 듬뿍 들어간 창녕갈릭소이소스를 사용하면 생선의 비린 맛은 확실하게 잡고 감칠맛도 더해 준답니다. 꼭 삼치가 아니어도 잘 어울립니다. 간편하게 생선 조림을 즐겨보세요.

Step 1 무는 4cm*4cm로 사각 썰고, 양파는 채 썰고, 대파와 청양고추는 어슷하게 썬다.

Step 2 삼치는 3~4등분으로 토막 낸다.

Step 3 냄비에 손질한 무와 물을 넣고 약 5분정도 끓여준다.

Step 4 대파를 제외한 나머지 재료를 모두 냄비에 넣고 중약불에서 약 8~9분간 끓여준다.

Step 5 대파를 넣고 약 1분정도 더 끓여 완성한다.",반찬,해물,조림,"집밥, 부드러운 식감",,냄비
창녕갈릭 소불고기,"불고기용 소고기 300g, 양파 1개, 창녕갈릭소이소스 80g, 대파 1/2대, 생강 2g, 물 50g, 후추 약간 ","기름이 적고 단백질이 풍부한 소고기는 에너지 보충에 좋은 식재료 입니다. 여기에 창녕마늘이 듬뿍 들어간 창녕갈릭소이소스를 활용하면 감칠맛이 풍부한 소불고기를 쉽게 완성할 수 있어요. 불고기는 반찬으로도 좋고 명절에 특별한 메뉴로도 손색 없지요. 기호에 따라 돼지고기를 양념하여 돼지불고기를 만들어도 좋습니다.

Step 1 양파 한 개 중 절반은 믹서기에 갈아 준비한다.

Step 2 남은 양파 절반은 채를 썰고, 생강은 다지고, 대파는 어슷 썰어 준비한다.

Step 3 볼에 손질한 재료와 창녕갈릭소이소스, 물, 후추 약간을 고루 섞어 양념을 만든다.

Step 4 준비한 양념에 소고기를 잘 버무려서 30분간 재운다.

Step 5 예열된 후라이팬에 양념된 소고기를 넣고 중불에서 골고루 볶듯이 구워준다.

Step 6 그릇에 옮겨 완성한다.",반찬,"쇠고기, 돼지고기",볶음,"스피드, 집밥, 도시락",명절,후라이팬
창녕갈릭 LA갈비 구이,"LA갈비 400g, 창녕갈릭소이소스 25g, 쪽파 소량  ","명절이나, 집들이, 손님 초대용으로 가장 유명하고 인기 있는 메뉴는 단연 LA갈비구이! 창녕마늘이 듬뿍 들어가서 갈비의 풍미를 한층 더 올려줍니다. 간편하게 LA갈비구이를 즐겨보세요.

Step 1 LA갈비가 잠길만큼 찬물을 부은 뒤 약 1시간 동안 2~3회 정도 물을 갈아주며 핏물을 뺀다.

Step 2 핏물을 빼준 후 물에 헹군 뒤 체에 밭쳐 물기를 완전히 제거한다.

Step 3 쪽파는 송송 썰어 준비한다.

Step 4 예열한 후라이팬에 LA갈비를 80%까지 굽는다.

Step 5 창녕갈릭소이소스를 LA갈비 앞면과 뒷면에 잘 발라준다.

Step 6 소스가 거의 졸여지도록 굽는다.

Step 7 LA갈비를 접시에 옮겨서 송송 썬 쪽파 소량을 갈비 위에 올려주어 완성한다.",반찬,쇠고기,구이,"집밥, 파티, 간단 꿀조합","명절, 생일, 크리스마스",후라이팬
토마토김치,"토마토 1개(235g), 옛날 볶음참깨 약간, 양파 1/4개(50g), 쪽파 2줄기(15g), 오늘밥상 바로 무쳐먹는 겉절이양념 1봉(90g) ","토마토의 아삭하고 새콤한 맛과 오뚜기만의 비법이 담긴 오늘밥상 양념이 잘 어울리는 산뜻하고 이색적인 토마토 김치를 소개합니다. 겉절이처럼 바로 무쳐 먹어도 좋고 후숙 하여도 먹어도 좋아요. 고기나 기름진 음식을 드실 때 곁들여 보세요!

Step 1 토마토는 웻지 모양으로 8등분한다.

Step 2 양파는 채 썰고 쪽파는 길이 맞춰 잘라 준비한다.

Step 3 양파와 쪽파는 볼에 담아 겉절이양념에 버무린다.

Step 4 양파와 쪽파가 잘 버무려지면 자른 토마토를 넣어 살살 무친다.

Step 5 그릇에 담고 깨를 뿌려 완성한다. TIP. 냉장고에 숙성하여 익혀 먹어도 좋습니다.","반찬, 샐러드",채소,무침·비빔,"스피드, 냉장고털이, 집밥, 채식, 부드러운 식감, 간단 꿀조합",,기타
감자 짜글이,"오늘밥상 송탄식 사골 부대찌개 양념 1봉(110g), 오뚜기햄 1캔(200g), 물 700ml 양파 1/2개(100g), 대파 2대(80g), 청양고추 2개(20g), 감자 2개(400g), 다진마늘 1T(20g), 고추장 1T(20g), 된장 1/3T(6g), 고춧가루 2T(15g), 황설탕 1T(7g), 이금기 시즈닝맛간장 2T(30g)  ","국물 자작~하게 졸여 즐기는 짜글이의 매력! 입맛 없을 땐 감자 듬뿍 썰어 넣어 감칠맛 가득한 감자 짜글이 어떠세요? 청양고추와 양파, 대파 송송 썰어 넣으면 매콤한 매력까지 추가요! 밥 쓱쓱 비벼 먹으면 밥 도둑이 따로 없어요.

Step 1 감자와 양파는 가로, 세로 2cm 크기로 각지게 썰어준다.

Step 2 청양고추와 대파는 송송 썰어준다.

Step 3 오뚜기햄은 밀폐 봉지 또는 그릇에 담아 으깬다.

Step 4 다진마늘, 고추장, 된장, 고춧가루, 황설탕, 시즈닝맛간장을 섞어 양념장을 만든다. Tip. ‘오늘밥상 송탄식 사골 부대찌개 양념’을 사용하면 따로 양념장을 만들 필요 없이 조리가 편리해요!

Step 5 냄비에 감자를 깔고 양파와 청양고추, 대파, 물, 양념장을 모두 넣어 끓인다.

Step 6 끓기 시작하면 중불로 줄여 국물이 반으로 줄어들 때까지 졸여준다.

Step 7 그릇에 옮겨 완성한다.","반찬, 국물","돼지고기, 채소","국탕찌개, 조림","냉장고털이, 집밥, 부드러운 식감",,냄비
콩나물전,"바삭한 부침가루 100g, 삼겹살양파절임소스 6T(50g),콩나물 65g, 다진마늘 1t(6g), 당근 1/10개(20g), 부추 5g, 물 150ml, 청양고추 1개(10g), 프레스코 카놀라유 3T(30g), 고소한 참기름 1T(10g), 옛날 볶음참깨 1/2T(1g), 고춧가루 1t(1g), 소금 1/3t(1g)","냉장고에 콩나물이 애매하게 남아있을 땐 바삭하고 맛있는 콩나물전을 만들어보세요. 부추와 남은 채소도 곁들여주면 더 풍성하게 즐길 수 있답니다! 밥 반찬이나 간식은 물론, 비 오는 날엔 노릇노릇 구워 간단한 안주로도 최고에요.

Step 1 콩나물은 깨끗하게 손질한 후 물기를 제거한다. 당근은 얇게 채 썰고, 청양고추는 송송 썬다. 부추는 길이(약 4cm)에 맞춰 자른다.

Step 2 부침가루에 물과 소금을 섞어 반죽하고 콩나물과 당근, 다진마늘, 청양고추, 부추를 섞는다.

Step 3 후라이팬에 카놀라유와 참기름을 두르고 반죽을 조금씩 동그랗게 올려 노릇하게 굽는다.

Step 4 삼겹살양파절임소스에 으깬 깨와 고춧가루를 더해 양념장을 만든다.

Step 5 구운 콩나물전을 그릇에 담고, 양념장도 종지에 담아 완성한다.","반찬, 디저트, 기타","채소, 기타","구이, 기타","냉장고털이, 야식, 간식","명절, 생일",후라이팬
X.O.만두전,"X.O.교자 김치 4알(145g), X.O.교자 4알(145g), 달걀 2개, 청양고추 1개(10g), 간장 4T(40g), 화이트 식초 2T, 고춧가루 1t(1g), 물 2T, 대파 20g, 설탕 2T(20g), 콩기름 3T(30g), 고소한 참기름 1t(10g)","만두소를 활용하면 전 요리를 간편하게 즐기실 수 있어요. 특히 X.O만두는 만두소가 꽉 차있어서 만두전으로 활용하기에 좋습니다. 특별한 간식,_x000D_ 도시락 반찬, 간편 안주 등으로 즐겨보세요!

Step 1 만두는 해동하여 준비한다.

Step 2 만두피와 만두소를 분리하고 만두소는 가위를 사용하여 맛 별로 잘게 자른다.

Step 3 자른 만두(145g)에 송송 썬 대파(10g)와 청양고추(1/2개), 달걀(1개)을 섞는다.

Step 4 예열한 후라이팬에 기름을 두르고 만두전을 노릇하게 굽는다. Tip. 전기름은 콩기름과 참기름을 섞어 준비해주세요.

Step 5 간장에 고춧가루, 화이트 식초, 설탕, 물을 섞어 양념장을 만든다.

Step 6 노릇하게 구운 만두전을 양념장과 함께 완성한다.",반찬,"돼지고기, 계란","구이, 튀김","냉장고털이, 야식, 간식, 캠핑, 도시락",,후라이팬
회오리 오이무침,"오이 1개(260g), 꽃소금 2/3T(5g), 대파 1/4대(20g), 양파 1/4개(50g), 옛날 볶음참깨 약간, 겉절이양념 1봉(90g), 고소한 참기름 1/2T","뚝딱 만들기 좋으면서 먹음직스러운 반찬, 회오리 오이무침을 소개합니다. 아삭아삭 시원한 오이의 식감에 달큰 매콤한 양념이 더해져 잃어버린 입맛도 돌아온답니다! 회오리 모양으로 내준 칼집에 양념이 잘 배어들어 더 맛있어요. 이번주 집 반찬으로 회오리 오이무침 어떠세요?

Step 1 깨끗하게 세척한 오이는 양쪽에 일정한 간격으로 사선 방향의 칼집을 내어준다. Tip. 젓가락으로 오이를 고정해 자르면 더욱 일정하게 자를 수 있어요.

Step 2 칼집을 낸 오이는 꽃소금을 넣고 10분간 절인다.

Step 3 대파는 작게 썰고 양파는 적당한 크기로 채를 썰어 준비한다.

Step 4 겉절이양념에 대파와 양파를 섞어 양념장을 만든다.

Step 5 절인 오이는 물기를 최대한 뺀 후 양념장에 버무리고 참기름과 깨를 뿌려 완성한다.","반찬, 샐러드",채소,무침·비빔,"스피드, 냉장고털이, 집밥, 도시락, 채식",,기타
만새강정,"오즈키친 칠리새우 1봉, 쫄깃한 쌀떡볶이떡 110g, 양념치킨소스 3T(45g), X.O.미니군만두고기 150g, 견과류 약간 ","매콤달콤한 소스를 활용한 강정 메뉴입니다. 양념 치킨 소스에 만두와 새우를 함께 버무려 이름을 만새(만두새우) 강정이라고 지었어요. 남녀노소 누구나 좋아할 수 밖에 없는 조합에 조리법도 무척 간단합니다. 가까운 사람들과 함께 안주 또는 간식으로 활용해보세요.

Step 1 에어프라이어에 만두와 새우를 넣고 180도에서 10분~15분간 조리한다.

Step 2 떡볶이떡은 끓는 물에 2분간 조리하여 준비한다.

Step 3 후라이팬에 칠리새우의 소스와 양념치킨소스를 섞어 끓인다.

Step 4 소스가 끓기 시작하면 조리한 떡과 새우, 만두를 넣어 빠르게 볶는다.

Step 5 그릇에 옮긴 뒤 견과류를 더해 완성한다.","반찬, 분식","돼지고기, 해물","구이, 볶음, 튀김, 무침·비빔","스피드, 냉장고털이, 집밥, 야식, 캠핑, 도시락, 파티, 간단 꿀조합",,"에어프라이어, 후라이팬"
칰햄스틱,"칰햄 오리지널 1캔(200g), 계란 2개, 튀김가루 60g, 빵가루 60g, 프레스코 압착올리브유 유탕용 ","맛이 없을 수가 없는 조합! 짜지 않고 담백한 칰햄을 바삭하게 튀기면 간식으로도 안주로도 딱 좋습니다. 오뚜기 토마토 케챂 또는 케요네스와 함께 맛있게 즐겨보세요.

Step 1 칰햄을 긴 스틱모양으로 자른다.

Step 2 자른 햄은 튀김가루-계란물-빵가루 순서대로 묻힌다.

Step 3 깊은 팬에 올리브유를 180도까지 예열한 후 햄을 튀긴다.

Step 4 튀김 옷이 노릇하게 모두 튀겨지면 건져 기름을 뺀 후 완성한다. Tip. 오뚜기 토마토 케챂 또는 케요네즈와 함께 즐겨보세요!","반찬, 분식, 기타","닭고기, 기타",튀김,"스피드, 야식, 간식",,"에어프라이어, 후라이팬"
두부참치스테이크,"가벼운 참치 더마일드 2캔 참깨돈까스소스 1통(290g), 빵가루 150g, 양파 1/2개(100g), 브로콜리 1/4개(50g), 옛날 볶음참깨 1T(4g), 고소한 참기름 1T(10g), 계란 2개, 다진마늘 2t(10g), 대파 1대(50g), 소금 2t(4g),순후추 1g, 프레스코 카놀라유 200g, 두부 3/5모(300g)","고기 없이 담백하고 든든한 스테이크를 만들어볼까요? 노릇하게 구운 패티 위에 상큼하고 고소한 참깨돈까스소스를 곁들이면 맛도 모양도 제법 그럴듯해집니다. 반죽의 모양이 잘 유지되도록 두부의 물기는 최대한 제거해 주세요.

Step 1 양파, 대파, 브로콜리는 작게 다진다.

Step 2 두부는 전자레인지에 4분간 조리한 후 면포로 물기를 최대한 빼내고 곱게 으깬다.

Step 3 참치는 기름을 버린 후 으깬 두부와 양파, 대파, 브로콜리를 섞다가 참기름, 다진마늘, 소금, 후추, 달걀, 깨를 더해 반죽을 만든다.

Step 4 반죽이 뭉쳐질 정도로 빵가루를 섞어 반죽하고 여섯 등분한 뒤 동그란 패티 모양으로 빚는다.

Step 5 중약불에서 달군 후라이팬에 식용유를 두르고 반죽을 앞 뒤로 노릇하게 굽는다.

Step 6 그릇에 옮겨 참깨돈까스소스를 뿌려 완성한다. Tip. 로메인, 양상추, 방울토마토와 같은 채소와 곁들이는 것을 추천합니다.","반찬, 분식, 기타","해물, 기타",구이,"브런치, 냉장고털이, 야식, 간식, 도시락, 채식, 부드러운 식감",,후라이팬
두부시금치무침,"참깨드레싱 1.5T(23g), 두부 30g, 시금치 4개(100g), 간장 1t(2g), 소금 약간, 옛날 볶음참깨 약간","쉽고 간단하게 만들 수 있는 영양만점 시금치 무침을 소개합니다. 간을 약하게 하여 샐러드처럼 즐겨도 좋고 딱 맞게 하여서 반찬으로 활용해보아도 좋습니다. 겨울에 단맛이 올라온 시금치로 만들어보시기를 추천합니다.

Step 1 미리 손질한 시금치를 소금을 넣은 끓는 물에 1분 내로 빠르게 데친 후 찬물에 완전히 식힌다.

Step 2 시금치의 물기를 최대한 제거한 뒤 적당한 길이(약 4cm)로 자르고 소금, 간장에 버무린다.

Step 3 시금치에 수분을 짜낸 두부를 으깨어 담고 참깨드레싱과 골고루 버무린다.

Step 4 그릇에 두부시금치무침을 담고 깨를 뿌려 완성한다.",반찬,채소,무침·비빔,"스피드, 냉장고털이",,냄비
참치무조림,"가벼운참치 라이트스탠다드2캔(135gX2), 무1개(1kg), 양파1개(200g), 청양고추3개(30g), 설탕1T(15g), 다진마늘2T(50g), 미향2T(20g), 굴소스2T(30g), 다진생강1/2t(3g), 고춧가루3T(21g), 순후추약간, 물1L, 멸치장국4T(40g), 고추장1T(25g), 옛날 볶음참깨약간, 향긋한 들기름2T","냉장고에 있는 재료를 가지고 맛있는 요리를 만들 수 있어요._x000D_ 무에 기름 함량을 줄여 가벼워진 참치와 갖은 양념을 넣고 푹 졸이면 밥 한 그릇 뚝딱 가능한 만능 반찬 완성입니다. 무가 제철인 10~12월엔 술안주로도 더할 나위 없이 좋아요._x000D_

Step 1 대파와 청양고추는 송송 썰고 양파는 채 썬다.

Step 2 무는 1cm 두께로 편 썰은 후 4등분 또는 2등분한다.

Step 3 넓은 팬에 들기름을 붓고 향이 올라올 때까지 다진 마늘과 다진 생강을 볶아준다.

Step 4 향이 올라오면 무를 볶고 물과 멸치장국을 부은 후 끓인다.

Step 5 물이 끓기 시작하면 고춧가루, 설탕, 굴소스, 맛술, 순후추, 고추장을 섞은 양념장을 넣고 뚜껑을 열고 양파를 더해 센 불에 20분간 끓인다.

Step 6 가벼운참치(라이트스탠다드)와 청양고추, 대파를 넣고 중불에 20분간 조린 후 깨를 뿌려 완성한다.","반찬, 기타","채소, 기타",조림,"스피드, 부드러운 식감, 간단 꿀조합",,"후라이팬, 냄비"
새둥지 잡채전,"옛날잡채(75g)1봉, 계란2개, 오뚜기카레 약간매운맛1/3t(1g), 부침가루50g, 고소한 참기름1T, 프레스코 카놀라유2T","추석을 보내고 남은 잡채를 맛있게 먹는 방법을 소개합니다!_x000D_ 잡채가 없다면 오뚜기 옛날 잡채로 쉽게 만들어보세요._x000D_ 카레를 더하면 더욱 맛있게 완성할 수 있습니다._x000D_

Step 1 계란을 흰자와 노른자로 분리한다.

Step 2 옛날잡채를 조리하고 가위로 길이를 적당하게 자른 후 카레가루와 부침가루, 계란 흰자를 섞어 반죽을 만든다.

Step 3 후라이팬에 참기름과 카놀라유를 두르고 잡채 반죽을 도넛 모양으로 올린 후 가운데 구멍에 노른자를 넣어 굽는다.

Step 4 전이 앞뒤로 노릇하게 구워지면 그릇에 담아 완성한다.","반찬, 기타",기타,구이,"야식, 간식, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합","명절, 생일, 카레데이",후라이팬
흑초만두탕수,"X.O미니 군만두 고기1/2봉(230g), 8년숙성흑초2T(20g), 이금기중화시즈닝맛간장1T(10g), 코코넛후레이크1/2T(5g), 고구마1개(100g), 파인애플1슬라이스(70g), 설탕1T(10g), 전분물(전분:물=1:2)2T(20g), 물2T(20g)","8년간 장기 숙성하여 완성한 흑초에는 은은하고 부드러운 향미가 느껴집니다.

Step 1 고구마는 4cmX1cm 스틱 모양으로 자르고 파인애플은 한입크기로 자른다.

Step 2 에어프라이어에 군만두 고기와 고구마를 함께 넣고 180도에 10분간 익힌다.

Step 3 후라이팬에 8년숙성흑초와 설탕, 물, 맛간장을 끓이고 전분물을 더해 소스를 만든다.

Step 4 조리된 고구마와 군만두 고기를 끓는 소스에 넣고 빠르게 볶아낸 후 파인애플을 더해 그릇에 담는다.

Step 5 마지막으로 코코넛후레이크를 뿌려 완성한다.","반찬, 분식, 기타",기타,"볶음, 튀김",간식,생일,에어프라이어
카레고구마전,"오리지널카레파우더5g, 부침가루65g, 콩기름유탕용, 고구마1개(130g), 파슬리가루1g, 물95ml, 소금1g","달달한 고구마와 카레의 맛있는 맛남! 카레향이 솔솔나는 바삭한 고구마전입니다._x000D_ 맥주 안주로도 좋고 어린이나 어른들 간식으로 최고에요._x000D_

Step 1 깨끗하게 씻은 고구마는 얇고 일정한 두께로 썬다.

Step 2 볼에 부침가루, 오리지널카레파우더, 파슬리가루, 소금, 물을 섞어 반죽을 만든다.

Step 3 썰어 놓은 고구마에 반죽을 묻히고 달궈진 후라이팬에 콩기름을 넉넉하게 둘러 앞뒤로 노릇하게 튀겨 완성한다.","반찬, 분식",채소,"구이, 튀김","스피드, 간식, 채식, 간단 꿀조합",,"에어프라이어, 후라이팬"
콩나물불고기,"오늘밥상 제육볶음양념 1팩(150g), 돼지고기 앞다리살 300g, 콩나물 150g, 파채 50g, 옛날 볶음참깨 1T(5g), 참기름	2T(20g)","Step 1 얇게 슬라이스한 돼지고기에 제육볶음양념을 버무려 30분간 재운다.

Step 2 콩나물과 파채는 깨끗하게 손질한다.

Step 3 달군 팬에 참기름(1T)을 두르고 양념한 돼지고기를 볶는다.

Step 4 고기가 거의 익으면(약 5분) 콩나물과 파채를 넣고 3분간 빠르게 볶는다.

Step 5 불을 끄고 참기름(1T)을 넣어 섞은 후 볶음참깨를 뿌려 완성한다.",반찬,,,,,
오징어 봄동무침,"오징어 2마리(340g), 미나리 15줄기(30g), 봄동 1개(130g), 바로 무쳐먹는 겉절이양념 1봉(90g), 다시마식초 2T(20g), 양파 1/4개(50g), 당근 1/5개(30g), 소금 1t(2g), 미향 발효맛술 2T(20g), 옛날 참기름 1T(10g)","봄동과 미나리를 같이 버무린 뒤에 오징어초와 곁들여 먹는 메뉴입니다._x000D_ 다시마식초는 오징어 무칠 때 사용 부탁드려요. 필요시 양조식초나 사과식초로 대체되어도 괜찮습니다.

Step 1 오징어는 내장을 제거해 먹기 좋은 사이즈로 자르고 발효맛술과 다시마식초, 소금에 버무린다.

Step 2 미나리와 봄동은 깨끗이 손질 후 적당한 길이(4cm)로 자른다. 양파와 당근은 채 썬다.

Step 3 볼에 손질한 야채들을 담고 겉절이양념에 버무린 후 참기름을 더해 그릇에 담는다.

Step 4 끓는 물에 오징어를 2분간 데친 후 봄동무침과 함께 완성한다.",반찬,,,,,
마요통삼겹구이,"골드 마요네스2T(30g), 통삼겹살500g, 소금1t(1g), 순후추약간, 생마늘9개(45g), 대파2대(250g), 로즈마리2줄기(20g)","통삼겹살에 마요네스를 발라 구우면 더욱 맛있다는 사실! 알고계셨나요?_x000D_ 마요네스의 기름 성분 덕분에 마이야르 반응이 일어나 더욱 부드럽고 풍부한 맛의 고기를 즐길 수 있습니다. 크리스피한 식감을 위해 겉의 수분을 꼭 제거하고 소금으로 시즈닝을 해주세요._x000D_

Step 1 통삼겹살(4cm두께)에 벌집모양으로 칼집을 내고 모든 면에 소금을 뿌려 20분간 간한다. * 오뚜기 허브맛솔트를 사용하시면 더욱 편리합니다!

Step 2 대파는 6cm이내 길이로 잘라 준비한다.

Step 3 통삼겹살의 수분을 키친타올을 이용해 완전히 제거한 후 순후추를 뿌리고 마요네스를 바른다.* 기호에 따라 마요네스는 1T만 발라도 좋습니다!

Step 4 180도로 예열한 에어프라이어에 생마늘, 대파, 로즈마리를 깔아주고 양념한 통삼겹살의 껍질부분이 위로 향하게 올려 30분간 조리한다.",반찬,돼지고기,구이,캠핑,,에어프라이어
